ft_attr;ftid;ptid;name
fme_feature_type;NVDB_FARTSGRENSE;NVDB_FARTSGRENSEVERDI;fartsgrenseVerdi
fme_feature_type;NVDB_FUNKSJONELLVEGKLASSE;NVDB_VEGKLASSE;vegklasse
fme_feature_type;NVDB_GÅGATE;NVDB_VARETRANSPORTHVERDAGULØRDAGPERIODE1FRAKL;varetransportHverdagULørdagPeriode1FraKl
fme_feature_type;NVDB_GÅGATE;NVDB_VARETRANSPORTHVERDAGULØRDAGPERIODE1TILKL;varetransportHverdagULørdagPeriode1TilKl
fme_feature_type;NVDB_GÅGATE;NVDB_VARETRANSPORTHVERDAGULØRDAGPERIODE2FRAKL;varetransportHverdagULørdagPeriode2FraKl
fme_feature_type;NVDB_GÅGATE;NVDB_VARETRANSPORTHVERDAGULØRDAGPERIODE2TILKL;varetransportHverdagULørdagPeriode2TilKl
fme_feature_type;NVDB_GÅGATE;NVDB_VARETRANSPORTLØRDAGFRA;varetransportLørdagFra
fme_feature_type;NVDB_GÅGATE;NVDB_VARETRANSPORTLØRDAGTIL;varetransportLørdagTil
fme_feature_type;NVDB_GÅGATE;NVDB_KJØRINGTILEIENDOMMENETILLATT;kjøringTilEiendommeneTillatt
fme_feature_type;NVDB_GÅGATE;NVDB_GEOMETRI_LINJE;senterlinje
fme_feature_type;NVDB_HØYDEBEGRENSNING;NVDB_SKILTAHØYDE;skiltaHøyde
fme_feature_type;NVDB_HØYDEBEGRENSNING;NVDB_TYPEHINDERHØYDEBEGRENSNING;typeHinderHøydebegrensning
fme_feature_type;NVDB_HØYDEBEGRENSNING;NVDB_SENTERLINJE;senterlinje
fme_feature_type;NVDB_INNKJØRINGFORBUDT;NVDB_SENTERLINJE;senterlinje
fme_feature_type;NVDB_JERNBANEKRYSSING;NVDB_TYPEJERNBANEKRYSSING;typeJernbanekryssing
fme_feature_type;NVDB_JERNBANEKRYSSING;NVDB_POSISJON;posisjon
fme_feature_type;NVDB_LANDBRUKSVEGKLASSE;NVDB_KLASSELANDBRUKSVEG;klasseLandbruksveg
fme_feature_type;NVDB_SVINGERESTRIKSJON;NVDB_POSISJON;posisjon
fme_feature_type;NVDB_SVINGERESTRIKSJON;NVDB_SVINGEFORBUDFRA;svingeforbudFra
fme_feature_type;NVDB_SVINGERESTRIKSJON;NVDB_SVINGEFORBUDTIL;svingeforbudTil
fme_feature_type;NVDB_TRAFIKKREGULERINGER;NVDB_TRAFIKKREGULERINGER;trafikkreguleringer
fme_feature_type;NVDB_VÆRUTSATTVEG;NVDB_NAVN;navn
fme_feature_type;NVDB_VÆRUTSATTVEG;NVDB_HØYFJELLSSTREKNING;høyfjellsstrekning
fme_feature_type;NVDB_VÆRUTSATTVEG;NVDB_VINTERSTENGT_FRADATO;vinterstengt_FraDato
fme_feature_type;NVDB_VÆRUTSATTVEG;NVDB_VINTERSTENGT_TILDATO;vinterstengt_TilDato
fme_feature_type;NVDB_VÆRUTSATTVEG;NVDB_NATTESTENGT_FRADATO;nattestengt_FraDato
fme_feature_type;NVDB_VÆRUTSATTVEG;NVDB_NATTESTENGT_TILDATO;nattestengt_TilDato
fme_feature_type;NVDB_VÆRUTSATTVEG;NVDB_AVGRENSAVINTERDRIFT_FRADATO;avgrensaVinterdrift_FraDato
fme_feature_type;NVDB_VÆRUTSATTVEG;NVDB_AVGRENSAVINTERDRIFT_TILDATO;avgrensaVinterdrift_TilDato
fme_feature_type;NVDB_VÆRUTSATTVEG;NVDB_HOVEDPROBLEM;hovedproblem
fme_feature_type;NVDB_VEGSPERRING;NVDB_TYPE;type
fme_feature_type;NVDB_VEGSPERRING;NVDB_GEOMETRI_PUNKT;posisjon
fme_feature_type;VEGLENKEADRESSE;ADRESSEKODE;adressekode
fme_feature_type;VEGLENKEADRESSE;ADRESSENAVN;adressenavn
fme_feature_type;VEGLENKEADRESSE;SIDEVEG;sideveg
fme_feature_type;VREF;VEGNUMMER;vegnummer
fme_feature_type;VREF;HOVEDPARSELL;hovedparsell
fme_feature_type;VREF;METERFRA;veglenkeMeterFra
fme_feature_type;VREF;METERTIL;veglenkeMeterTil
fme_feature_type;VREF;REFERANSERETNING;referanseretning
fme_feature_type;VREF;VFRADATO;vegreferanseFraDato
fme_feature_type;ENDRINGSFLAGG;ENDRET_TID;tidspunktEndring
fme_feature_type;IDENT;LOKALID;lokalId
fme_feature_type;IDENT;NAVNEROM;navnerom
fme_feature_type;IDENT;VERSJONID;versjonId
fme_feature_type;KVALITET;NØYAKTIGHET;nøyaktighet
fme_feature_type;KVALITET;H-NØYAKTIGHET;nøyaktighetHøyde
fme_feature_type;KVALITET;MAX-AVVIK;maksimaltAvvik
fme_feature_type;LRPOSISJON;RETNING;retning
fme_feature_type;LRPUNKT;LRPUNKTPOSISJON;posisjon
fme_feature_type;LRSTREKNING;LRFRAPOSISJON;fraPosisjon
fme_feature_type;LRSTREKNING;LRTILPOSISJON;tilPosisjon
